"x","y","z","value","cluster_size","subpeak"
"10","10","-6","8.837624","1286720","false"
"-10","8","-8","8.579189","","true"
"-6","54","-2","7.605328","","true"
"-6","42","2","6.996188","","true"
"22","20","-36","2.8496091","296","false"
"50","10","-30","2.5231237","216","false"
"52","-18","-32","2.5102413","488","false"
"56","-28","-30","1.772856","","true"
"44","20","-38","2.4577785","104","false"
"-2","4","-32","2.2401738","112","false"
"-2","20","64","2.1883974","136","false"
"-56","-58","-38","2.1463304","80","false"
"-26","4","-44","2.144551","80","false"
"28","-60","-56","1.9400167","88","false"
"0","2","70","1.911327","192","false"
"-8","4","68","1.8609239","","true"
"48","-28","-10","-2.363516","144","false"
"18","-40","16","-1.976694","88","false"
